SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
507450,THIRU A.SUG.,T ,Q,17.30,17.30,17.30,17.30,17.30,16.50,4,350,6055.00,
507474,KOTHARI FERM,X ,Q,64.40,66.00,62.25,63.05,63.00,64.40,15,1021,65315.00,
507488,G.M.BREWERI ,B ,Q,510.35,540.00,510.35,536.25,536.25,508.80,385,4290,2278262.00,
507490,RANA SUGARS ,B ,Q,3.11,3.35,3.11,3.28,3.28,3.10,89,88710,285290.00,
507498,PICCADILY SU,X ,Q,5.92,6.49,5.92,6.01,6.01,5.91,9,996,6344.00,
507508,RIGA SUGAR  ,XT,Q,3.75,3.75,3.75,3.75,3.75,3.61,1,11,41.00,
507514,SOM DISTILL.,B ,Q,142.45,146.40,140.50,141.85,141.85,136.85,429,14134,2026609.00,
507515,CJ GELATIN  ,XT,Q,8.50,8.58,8.50,8.58,8.58,8.58,2,199,1703.00,
507525,AMRIT CORP  ,X ,Q,550.00,587.05,550.00,587.05,587.05,559.10,3,8,4437.00,
507526,ASSO.ALCOHOL,X ,Q,238.85,245.00,229.10,234.70,235.00,233.90,327,15337,3652763.00,
507552,FOODS & INNS,X ,Q,146.10,152.70,146.00,152.70,152.70,153.70,5,264,38647.00,
507598,KLRFM       ,X ,Q,36.20,36.20,36.00,36.05,36.05,37.50,6,330,11891.00,
507621,MILKFOOD    ,X ,Q,288.00,288.00,268.00,276.10,276.10,271.70,21,405,110129.00,
507645,POLSON LTD. ,X ,Q,10621.00,10890.00,10375.10,10807.50,10725.00,10373.75,21,29,309625.00,
507649,RASOI LTD.  ,X ,Q,30500.00,30500.00,30250.05,30281.00,30281.00,30295.05,10,12,363449.00,
507685,WIPRO LTD.  ,A ,Q,374.40,380.00,373.00,379.00,379.00,374.50,1933,77051,29136187.00,
507690,ORIENT BEVER,X ,Q,83.00,83.00,83.00,83.00,83.00,83.65,2,100,8300.00,
507717,DHAN AGRI   ,B ,Q,400.00,410.00,398.00,408.65,410.00,399.45,50,652,263871.00,
507747,TTK HEALTHCA,B ,Q,648.00,674.00,628.05,652.50,654.90,638.45,44,679,448648.00,
507753,TGVSL       ,X ,Q,33.45,34.10,32.30,33.75,33.75,32.95,196,45032,1498844.00,
507759,LIME CHEM.  ,X ,Q,32.00,33.50,31.15,33.50,33.50,33.00,16,2412,78014.00,
507779,KANPUR PLAST,X ,Q,112.55,119.00,112.00,112.65,112.65,116.25,82,3576,408816.00,
507789,JAGSON PHAR ,B ,Q,26.00,29.30,26.00,28.05,27.60,28.00,43,7499,210394.00,
507794,KHAITAN CHEM,X ,Q,7.69,7.89,7.52,7.88,7.88,7.52,48,35157,270982.00,
507813,NATI. OXYGEN,X ,Q,39.00,41.80,37.10,39.80,37.30,40.95,20,748,29229.00,
507815,GILLETTE (I),A ,Q,6508.60,6560.05,6450.00,6506.45,6500.00,6494.10,134,292,1906194.00,
507828,ANSALHSG    ,B ,Q,14.15,16.00,14.15,15.43,15.43,13.43,975,216326,3239342.00,
507836,MAC CHARLES ,X ,Q,302.00,302.00,302.00,302.00,302.00,305.00,4,104,31408.00,
507864,PION INVEST ,X ,Q,27.45,28.00,26.65,27.20,27.00,27.30,23,4252,114997.00,
507872,ASHNOOR TEX.,XT,Q,15.00,16.00,15.00,16.00,16.00,15.77,5,368,5522.00,
507878,UNITECH LTD ,B ,Q,1.32,1.35,1.26,1.35,1.35,1.29,1416,16160463,21570151.00,
507880,VIP INDUS.  ,A ,Q,433.00,436.80,426.75,429.50,429.60,431.95,1075,26824,11614050.00,
507886,DHRUV ESTATE,XT,Q,29.40,29.40,29.40,29.40,29.40,29.40,1,1,29.00,
507894,SCHABLONA (I,XT,Q,9.05,9.05,9.05,9.05,9.05,9.05,1,100,905.00,
507910,FIBERWB IN  ,X ,Q,32.05,32.25,30.65,31.15,31.15,32.00,220,40912,1274992.00,
507912,LKP FIN     ,X ,Q,108.10,115.00,108.10,114.10,115.00,116.00,5,200,22904.00,
507944,BAJAJ STEEL ,X ,Q,273.30,287.00,273.30,286.00,286.00,282.75,11,93,26269.00,
507946,KIDUJA INDIA,XT,Q,28.00,28.00,28.00,28.00,28.00,27.00,1,5,140.00,
507960,GUJ.HOTELS  ,X ,Q,103.00,108.00,103.00,106.00,106.00,104.00,6,439,46417.00,
507981,JINDAL HOTL ,X ,Q,34.90,39.60,32.15,35.00,35.00,33.00,55,3541,124219.00,
507998,SIMMONDS-MAR,X ,Q,78.00,78.00,77.00,77.05,77.00,77.75,18,1051,81421.00,
508136,BNALTD      ,X ,Q,156.00,160.00,145.00,155.05,155.05,157.25,16,1281,199880.00,
508486,HAWKINS COOK,B ,Q,2772.10,2863.00,2772.10,2839.50,2821.00,2784.35,142,894,2517924.00,
508494,WARREN TEA  ,X ,Q,64.00,64.00,59.00,60.05,60.05,61.50,37,1184,71449.00,
508664,BEST E.HOTEL,XT,Q,39.90,39.90,39.90,39.90,39.90,42.00,1,1,39.00,
508670,NEELAMALAI  ,P ,Q,1425.00,1425.00,1425.00,1425.00,1425.00,1500.00,1,100,142500.00,XD
